machine_id,file
216,1112446556.dcm
216,2015998330.dcm
48,1338698598.dcm
48,1410110630.dcm
48,410927059.dcm
48,1191653623.dcm
216,1129330972.dcm
216,2092413338.dcm
216,460731589.dcm
216,773335403.dcm
216,1939297152.dcm
48,105198807.dcm
48,1537834356.dcm
48,410335114.dcm
48,1055648343.dcm
48,2040932567.dcm
49,269672479.dcm
49,846483466.dcm
49,934274352.dcm
49,1136454717.dcm
49,226635741.dcm
49,428643313.dcm
49,1899347591.dcm
49,202172694.dcm
49,511412275.dcm
48,122029770.dcm
48,271915518.dcm
48,642026249.dcm
48,1636548689.dcm
48,690183.dcm
48,32340277.dcm
48,540973699.dcm
48,244315935.dcm
48,329930293.dcm
48,1430620887.dcm
49,18283890.dcm
49,579269355.dcm
49,1965875438.dcm
49,1364372717.dcm
49,1736269045.dcm
49,1755472423.dcm
21,1158668756.dcm
21,1474367410.dcm
21,768553797.dcm
21,1074071142.dcm
49,10344577.dcm
49,1152574310.dcm
49,817917685.dcm
49,1376911215.dcm
49,1765678748.dcm
49,1792651296.dcm
210,1523044954.dcm
210,1981230598.dcm
210,430541765.dcm
210,628578547.dcm
49,168349573.dcm
49,960210414.dcm
49,2117286916.dcm
49,592622773.dcm
49,645370737.dcm
29,97437092.dcm
29,1267218609.dcm
29,463657213.dcm
29,709932584.dcm
21,980863334.dcm
21,1258341390.dcm
21,715444975.dcm
21,730115633.dcm
48,264030060.dcm
48,415224688.dcm
48,1146730438.dcm
48,1595878948.dcm
49,20361962.dcm
49,200204124.dcm
49,320937539.dcm
49,796891575.dcm
49,1410402096.dcm
48,990010942.dcm
48,1821210282.dcm
48,1287125665.dcm
48,1780242012.dcm
48,734190660.dcm
48,1029220548.dcm
48,979073792.dcm
48,1462763221.dcm
21,5847464.dcm
21,1707901637.dcm
21,500026908.dcm
21,1395875627.dcm
21,1274003489.dcm
21,1645335117.dcm
21,506789354.dcm
21,813841220.dcm
93,265003236.dcm
93,2065907363.dcm
93,107387824.dcm
93,1562294445.dcm
21,755937784.dcm
21,1800181181.dcm
21,318462651.dcm
21,702432837.dcm
49,52510266.dcm
49,863598426.dcm
49,1044358626.dcm
49,1470470799.dcm
49,1143020456.dcm
49,1589397165.dcm
49,2075351475.dcm
49,282562525.dcm
49,663924224.dcm
49,1210942.dcm
49,406488256.dcm
49,848307133.dcm
48,210290083.dcm
48,451676567.dcm
48,359381091.dcm
48,755155550.dcm
49,233967803.dcm
49,1622454506.dcm
49,1905942887.dcm
49,939620685.dcm
49,1121301491.dcm
49,1205849672.dcm
21,500757323.dcm
21,1933285880.dcm
21,1058522855.dcm
21,1135251528.dcm
29,1057358723.dcm
29,1920937168.dcm
29,943940352.dcm
29,1684750750.dcm
216,399708079.dcm
216,1857770116.dcm
216,1049168020.dcm
216,1568630875.dcm
49,469144900.dcm
49,1558204418.dcm
49,352857742.dcm
49,2043709714.dcm
49,41545409.dcm
49,1202516335.dcm
49,309617940.dcm
49,1152537223.dcm
48,590386476.dcm
48,1413555772.dcm
48,305757738.dcm
48,1200075231.dcm
48,1143939493.dcm
48,1158601631.dcm
48,100456375.dcm
48,302441515.dcm
48,458553546.dcm
48,1434858530.dcm
48,956574704.dcm
48,958479048.dcm
48,1540201051.dcm
29,220345088.dcm
29,464392024.dcm
29,1472025660.dcm
29,2099267783.dcm
210,216744820.dcm
210,681193324.dcm
210,571236541.dcm
210,1529704776.dcm
49,1463218401.dcm
49,1825831835.dcm
49,620367422.dcm
49,905279085.dcm
49,1648906763.dcm
93,342203223.dcm
93,604882069.dcm
93,1119390120.dcm
93,1605097365.dcm
93,1755756186.dcm
93,506148695.dcm
93,560290012.dcm
93,652344784.dcm
93,1833418626.dcm
93,1962451444.dcm
93,2078023734.dcm
29,215007914.dcm
29,1559303163.dcm
29,38118563.dcm
29,224398130.dcm
49,1019464609.dcm
49,1615526326.dcm
49,2094031022.dcm
49,65932486.dcm
49,244638404.dcm
49,1628226958.dcm
49,435970835.dcm
49,1159975979.dcm
49,243972300.dcm
49,1400960750.dcm
49,1098479350.dcm
49,2132183945.dcm
49,1389453581.dcm
49,1433107117.dcm
49,1796704277.dcm
49,1928261565.dcm
49,263874372.dcm
49,380791204.dcm
29,187863936.dcm
29,959419970.dcm
29,1788153356.dcm
29,1912892276.dcm
48,1489925365.dcm
48,1834610684.dcm
48,1168228782.dcm
48,1191992815.dcm
29,1539130972.dcm
29,1735032149.dcm
29,1929933231.dcm
29,1173887795.dcm
29,1519548566.dcm
29,1868605498.dcm
48,7384380.dcm
48,602064354.dcm
48,242757006.dcm
48,303135972.dcm
29,397491913.dcm
29,1232990271.dcm
29,928983724.dcm
29,1934323665.dcm
29,748357157.dcm
29,1226238477.dcm
29,103041172.dcm
29,1044731216.dcm
29,138237689.dcm
29,1293069120.dcm
29,358150530.dcm
29,1298003263.dcm
49,930382814.dcm
49,1256306591.dcm
49,886311992.dcm
49,936451802.dcm
49,1470208442.dcm
29,742723588.dcm
29,1338858456.dcm
29,457122509.dcm
29,474818568.dcm
48,1196389201.dcm
48,1887797144.dcm
48,415339637.dcm
48,840398035.dcm
29,454570641.dcm
29,936270029.dcm
29,641112065.dcm
29,1193161941.dcm
49,298258103.dcm
49,899934324.dcm
49,1235422671.dcm
49,1351457948.dcm
49,1509492099.dcm
49,657541655.dcm
49,880953279.dcm
49,376934385.dcm
49,1505027709.dcm
49,1782974695.dcm
93,92612954.dcm
93,327820676.dcm
93,1472804609.dcm
93,463069660.dcm
93,545142706.dcm
93,2124356768.dcm
49,1255494251.dcm
49,1467583803.dcm
49,454647136.dcm
49,1028645269.dcm
48,547002624.dcm
48,1726763733.dcm
48,93022595.dcm
48,1922586609.dcm
93,331669375.dcm
93,1114020156.dcm
93,1403047837.dcm
93,1640741023.dcm
49,480140916.dcm
49,1966160745.dcm
49,496629515.dcm
49,807551796.dcm
49,2105488733.dcm
48,1123120156.dcm
48,1172474710.dcm
48,1361622846.dcm
48,2115335504.dcm
48,228058748.dcm
48,464634736.dcm
48,996244578.dcm
48,1612042178.dcm
49,55428248.dcm
49,1781460887.dcm
49,1814409353.dcm
49,120352291.dcm
49,1452156918.dcm
49,1676779930.dcm
49,1375133154.dcm
49,1463232227.dcm
49,838111747.dcm
49,1769989224.dcm
49,807438629.dcm
49,1932026673.dcm
49,666244801.dcm
49,1577115574.dcm
21,1232817618.dcm
21,1668277105.dcm
21,351033483.dcm
21,973390986.dcm
190,108494476.dcm
190,1333020554.dcm
190,265773887.dcm
190,800814120.dcm
190,1579868860.dcm
170,195400299.dcm
170,605115808.dcm
170,1967460233.dcm
170,363277205.dcm
170,2059883725.dcm
48,1107716845.dcm
48,1581190058.dcm
48,830801854.dcm
48,1464892650.dcm
21,745304387.dcm
21,1995581162.dcm
21,1258928638.dcm
21,1729120966.dcm
21,76321767.dcm
21,2018825992.dcm
21,1160585918.dcm
21,1495797827.dcm
29,1371981702.dcm
29,1637438204.dcm
29,396576745.dcm
29,607078498.dcm
49,607898581.dcm
49,644553356.dcm
49,1862204230.dcm
49,2027765245.dcm
49,266246169.dcm
49,611653415.dcm
49,1982211851.dcm
49,167391513.dcm
49,506632904.dcm
49,1483778774.dcm
49,272324501.dcm
49,1276100226.dcm
49,407612162.dcm
49,609328459.dcm
49,876032911.dcm
49,1381045133.dcm
29,797737008.dcm
29,1095412840.dcm
29,46469454.dcm
29,1216532269.dcm
21,311168378.dcm
21,1696075167.dcm
21,435363551.dcm
21,1019763827.dcm
21,1816705499.dcm
49,383708949.dcm
49,751571777.dcm
49,782494031.dcm
49,1401448797.dcm
48,187027334.dcm
48,1268075019.dcm
48,1334156926.dcm
48,224712929.dcm
48,707529389.dcm
48,1248720610.dcm
48,1649303306.dcm
48,2017763668.dcm
48,427101910.dcm
48,1030343836.dcm
48,817378225.dcm
48,1785576427.dcm
48,977905343.dcm
48,1063835519.dcm
170,452556492.dcm
170,1332941282.dcm
170,1222121284.dcm
170,1774497291.dcm
21,929031467.dcm
21,1212417848.dcm
21,1117020355.dcm
21,1834201085.dcm
29,1199045232.dcm
29,1824100608.dcm
29,841312936.dcm
29,1361228331.dcm
29,883642391.dcm
29,1385180924.dcm
29,1644216215.dcm
29,1657660442.dcm
21,546169626.dcm
21,1617947600.dcm
21,1220834231.dcm
21,1584654531.dcm
49,1537444849.dcm
49,1857690035.dcm
49,767754460.dcm
49,1901825187.dcm
49,1354361380.dcm
49,2049957533.dcm
49,157048103.dcm
49,1127780148.dcm
21,725941064.dcm
21,1313414003.dcm
21,426661175.dcm
21,1311352975.dcm
49,284708602.dcm
49,1882436239.dcm
49,227760017.dcm
49,1487700051.dcm
21,763186195.dcm
21,1167990339.dcm
21,34700621.dcm
21,937109986.dcm
49,40207666.dcm
49,43344806.dcm
49,1593436472.dcm
49,369964616.dcm
49,774827564.dcm
49,993520374.dcm
49,1780729993.dcm
21,796003416.dcm
21,881144932.dcm
21,1654450589.dcm
21,1033471682.dcm
21,2027498278.dcm
21,855508729.dcm
21,2088301322.dcm
21,274585100.dcm
21,1862960721.dcm
49,1308949510.dcm
49,1858761621.dcm
49,2068922317.dcm
49,643651118.dcm
49,761142587.dcm
49,1176657590.dcm
29,1969874361.dcm
29,2105893877.dcm
29,722885662.dcm
29,2063672636.dcm
210,946297700.dcm
210,993032636.dcm
210,2023041278.dcm
210,201713981.dcm
210,1552124440.dcm
210,1616696471.dcm
210,1826546638.dcm
170,22405939.dcm
170,972255440.dcm
170,1471096904.dcm
170,1540725283.dcm
170,13974463.dcm
170,15931898.dcm
170,1620613415.dcm
170,1946759104.dcm
210,9847153.dcm
210,1897089136.dcm
210,374609869.dcm
210,411534040.dcm
21,278911042.dcm
21,2022051250.dcm
21,251904513.dcm
21,1117417333.dcm
48,41313074.dcm
48,1924104560.dcm
48,1716461980.dcm
48,1988757394.dcm
29,297219081.dcm
29,1945652747.dcm
29,727499168.dcm
29,1451060171.dcm
48,60165637.dcm
48,278573216.dcm
48,614303025.dcm
48,660532801.dcm
48,1257659581.dcm
48,769478131.dcm
48,1758830399.dcm
48,576122488.dcm
48,764867340.dcm
49,273930147.dcm
49,649538430.dcm
49,1461360566.dcm
49,70309737.dcm
49,1196773108.dcm
49,1476307469.dcm
49,578902944.dcm
49,779903676.dcm
49,2076281608.dcm
49,1151690977.dcm
49,1301880329.dcm
49,1940080193.dcm
49,944535534.dcm
49,1580815494.dcm
49,228446640.dcm
49,1633223532.dcm
21,1392913333.dcm
21,2066314945.dcm
21,125143286.dcm
21,1965665237.dcm
49,739841432.dcm
49,1751635687.dcm
49,1652851391.dcm
49,1663306587.dcm
48,1770807658.dcm
48,1838021144.dcm
48,711533480.dcm
48,836443904.dcm
29,1176377450.dcm
29,1620619772.dcm
29,1784898396.dcm
29,1931510392.dcm
21,428532526.dcm
21,1478415469.dcm
21,280621352.dcm
21,1895492913.dcm
21,591123709.dcm
21,1933848539.dcm
21,1332084908.dcm
21,1786690311.dcm
29,1562174769.dcm
29,1868148345.dcm
29,97450802.dcm
29,2105332458.dcm
49,871227326.dcm
49,952224229.dcm
49,1094887797.dcm
49,1223335281.dcm
49,1601893608.dcm
49,203837440.dcm
49,1209491097.dcm
49,1589228359.dcm
49,1595059743.dcm
49,1819459933.dcm
49,808241086.dcm
49,1120382217.dcm
49,1285202241.dcm
49,1441952045.dcm
49,1547415696.dcm
49,504613176.dcm
49,1797968584.dcm
49,632818275.dcm
49,1302910227.dcm
49,538972378.dcm
49,2141020018.dcm
49,896301910.dcm
49,2005727807.dcm
49,679382815.dcm
49,778026622.dcm
49,1292006848.dcm
29,1098611287.dcm
29,1592008469.dcm
29,246097678.dcm
29,1576201450.dcm
49,924340828.dcm
49,1969917647.dcm
49,105770343.dcm
49,179219496.dcm
170,400855687.dcm
170,1810329042.dcm
170,863481972.dcm
170,1770354316.dcm
170,1215083449.dcm
170,1676397365.dcm
170,149787458.dcm
170,1873336201.dcm
29,1888733777.dcm
29,2086678166.dcm
29,225973.dcm
29,1420229228.dcm
48,1741497151.dcm
48,1857880628.dcm
48,382831252.dcm
48,1898855448.dcm
49,208462140.dcm
49,1163498976.dcm
49,142446492.dcm
49,682233910.dcm
49,70216419.dcm
49,2131171066.dcm
49,182789977.dcm
49,455341968.dcm
49,1993026097.dcm
49,380407567.dcm
49,1176332065.dcm
49,1604510667.dcm
49,662392424.dcm
49,829440179.dcm
49,1458622569.dcm
49,1717981432.dcm
21,1479237535.dcm
21,1589971686.dcm
21,1048030282.dcm
21,1830653951.dcm
93,971482194.dcm
93,1175199418.dcm
93,1056614352.dcm
93,1353903675.dcm
49,391756827.dcm
49,1149705463.dcm
49,1191632699.dcm
49,300789707.dcm
49,816558922.dcm
49,1234906325.dcm
49,143798811.dcm
49,306365461.dcm
49,318319219.dcm
49,2109892067.dcm
29,437060562.dcm
29,1716439630.dcm
29,1085751710.dcm
29,1646491944.dcm
29,211977932.dcm
29,727073052.dcm
29,611586885.dcm
29,1555363150.dcm
49,112923789.dcm
49,1377138508.dcm
49,1563151720.dcm
49,1926557483.dcm
49,166813637.dcm
49,496666349.dcm
49,1726416481.dcm
49,2100663413.dcm
49,506759176.dcm
49,1976472227.dcm
49,926274269.dcm
49,1763241662.dcm
49,421901857.dcm
49,1106867205.dcm
29,146149772.dcm
29,407153086.dcm
29,433471967.dcm
29,930257365.dcm
29,960692919.dcm
29,1046913932.dcm
29,1090019410.dcm
29,1500389452.dcm
21,329729035.dcm
21,1873924560.dcm
21,420829283.dcm
21,888426604.dcm
49,688897098.dcm
49,749916123.dcm
49,810595658.dcm
49,1790490615.dcm
48,587416079.dcm
48,1051726497.dcm
48,812097550.dcm
48,1059968927.dcm
48,1658150385.dcm
216,1157182056.dcm
216,1453461207.dcm
216,216067803.dcm
216,1914382462.dcm
48,1072097874.dcm
48,2031855524.dcm
48,105489110.dcm
48,1383612985.dcm
21,345540290.dcm
21,1310250338.dcm
21,1104544219.dcm
21,1813647116.dcm
48,1257121795.dcm
48,1347868267.dcm
48,730480771.dcm
48,916509884.dcm
49,372686829.dcm
49,441379575.dcm
49,1019978559.dcm
49,1731017221.dcm
49,1982284680.dcm
49,143347175.dcm
49,241105920.dcm
49,746867174.dcm
49,2116616347.dcm
49,112513827.dcm
49,1605465872.dcm
49,1062821506.dcm
49,1391631298.dcm
49,1488813025.dcm
29,916478982.dcm
29,1180081994.dcm
29,861725567.dcm
29,1366269680.dcm
21,863024799.dcm
21,1228770106.dcm
21,1410917221.dcm
21,922882520.dcm
21,1445838252.dcm
49,143322096.dcm
49,485832157.dcm
49,1390170080.dcm
49,889992440.dcm
49,1414542564.dcm
49,1488528290.dcm
29,1546861728.dcm
29,1561152908.dcm
29,775712288.dcm
29,1057960721.dcm
21,114542910.dcm
21,816691468.dcm
21,1320919073.dcm
21,1685966402.dcm
49,177091760.dcm
49,879216785.dcm
49,1642350161.dcm
49,2057200518.dcm
49,1264777872.dcm
49,1741799838.dcm
49,1845273761.dcm
48,1407335935.dcm
48,1613777455.dcm
48,429994937.dcm
48,1254423099.dcm
49,880086705.dcm
49,1209315961.dcm
49,1427603798.dcm
49,1538849311.dcm
49,98312675.dcm
49,362023212.dcm
49,468462241.dcm
48,863676434.dcm
48,1892346420.dcm
48,864449539.dcm
48,2129645616.dcm
93,348553439.dcm
93,565699417.dcm
93,4703157.dcm
93,1075876909.dcm
49,466980876.dcm
49,1129084238.dcm
49,641094275.dcm
49,2071643755.dcm
216,646843040.dcm
216,1521956184.dcm
216,2075246714.dcm
216,618839560.dcm
216,1579825622.dcm
216,2085894046.dcm
48,1071015409.dcm
48,2144090241.dcm
48,999527263.dcm
48,1584276034.dcm
49,1478464288.dcm
49,1629844503.dcm
49,2120236817.dcm
49,63154348.dcm
49,817978181.dcm
49,1069063499.dcm
49,1335866.dcm
49,1736353707.dcm
49,1025581849.dcm
49,1231266625.dcm
49,316626957.dcm
49,1195811191.dcm
49,1251073542.dcm
49,1506832614.dcm
29,35828347.dcm
29,1359190743.dcm
29,921958817.dcm
29,979030833.dcm
29,1405254412.dcm
29,1695339636.dcm
29,543793181.dcm
29,1824859694.dcm
170,933056599.dcm
170,1397055164.dcm
170,1424257315.dcm
170,1326732476.dcm
170,1869230850.dcm
216,321627381.dcm
216,626528976.dcm
216,1209595128.dcm
216,1105055041.dcm
216,1579100070.dcm
49,1086977375.dcm
49,1417771843.dcm
49,1882170663.dcm
49,1926447510.dcm
49,1069719282.dcm
49,1569592890.dcm
49,1566246102.dcm
49,1970118138.dcm
49,180245807.dcm
49,297882448.dcm
49,972771586.dcm
93,135744075.dcm
93,162801043.dcm
93,1063696188.dcm
93,752170963.dcm
93,2126625832.dcm
49,601424809.dcm
49,1292022412.dcm
49,1265594762.dcm
49,1490995644.dcm
29,1832892866.dcm
29,2132807803.dcm
29,733212193.dcm
29,780010746.dcm
29,1007930324.dcm
29,2030121650.dcm
29,239934033.dcm
29,1779223027.dcm
49,1166211296.dcm
49,1992353189.dcm
49,2011862807.dcm
49,75093114.dcm
49,1843457717.dcm
48,1791743996.dcm
48,2070965175.dcm
48,1358200745.dcm
48,1499838369.dcm
49,312905810.dcm
49,1566899063.dcm
49,127083915.dcm
49,871726019.dcm
21,194382354.dcm
21,1021428835.dcm
21,9149372.dcm
21,1137305158.dcm
49,249024760.dcm
49,330486195.dcm
49,1226386041.dcm
49,2121380793.dcm
49,84275961.dcm
49,1396776040.dcm
49,1399013560.dcm
49,2108979823.dcm
29,954630289.dcm
29,2123582338.dcm
29,333766089.dcm
29,1085717059.dcm
29,337131552.dcm
29,1518680937.dcm
29,608171651.dcm
29,1266245081.dcm
29,1255319175.dcm
29,2001582699.dcm
29,211148059.dcm
29,690059888.dcm
49,432805296.dcm
49,790440701.dcm
49,1139914939.dcm
49,2465434.dcm
49,1322316863.dcm
49,1665253230.dcm
49,743749544.dcm
49,782151233.dcm
49,1098212703.dcm
49,1348086609.dcm
49,178475575.dcm
49,694514686.dcm
49,1375700402.dcm
49,1971712017.dcm
48,991406790.dcm
48,1162587020.dcm
48,81054621.dcm
48,1961613323.dcm
21,1398600341.dcm
21,1826639173.dcm
21,1714463040.dcm
21,2077268575.dcm
170,1482850375.dcm
170,1782545135.dcm
170,705260993.dcm
170,1617219261.dcm
48,1189630073.dcm
48,1665968462.dcm
48,193639214.dcm
48,544825982.dcm
49,478412063.dcm
49,1148896560.dcm
49,1220333988.dcm
49,2054451568.dcm
48,403932632.dcm
48,1064813635.dcm
48,56121744.dcm
48,1352927344.dcm
49,1035928308.dcm
49,2062528594.dcm
49,1097551770.dcm
49,1203215296.dcm
49,2007561658.dcm
49,962557441.dcm
49,1906279301.dcm
49,752311316.dcm
49,1831662247.dcm
49,163812595.dcm
49,1718693327.dcm
49,619725817.dcm
49,905832241.dcm
170,428958001.dcm
170,1924725041.dcm
170,530351300.dcm
170,625992058.dcm
170,1577515597.dcm
29,358772583.dcm
29,1368965692.dcm
29,724798034.dcm
29,1704052883.dcm
49,1466528097.dcm
49,1566417032.dcm
49,1983971268.dcm
49,59937151.dcm
49,1639283978.dcm
48,1072428722.dcm
48,1574107599.dcm
48,1791019677.dcm
48,1950504159.dcm
29,493150661.dcm
29,1862019580.dcm
29,68159263.dcm
29,1577418323.dcm
49,141786795.dcm
49,316711525.dcm
49,720856716.dcm
49,2108022809.dcm
29,597330353.dcm
29,1693246994.dcm
29,1030715525.dcm
29,1657580977.dcm
49,219297150.dcm
49,300522689.dcm
49,1811557640.dcm
49,535320954.dcm
49,685058525.dcm
49,1168720532.dcm
49,1661894435.dcm
49,1820235658.dcm
49,1915182298.dcm
49,1318108045.dcm
49,1787833703.dcm
29,521835011.dcm
29,1840560741.dcm
29,258446175.dcm
29,970843403.dcm
21,213091987.dcm
21,787756516.dcm
21,3095401.dcm
21,1189732056.dcm
216,800619116.dcm
216,915970291.dcm
216,1842113265.dcm
216,773193090.dcm
216,1076104858.dcm
216,1875195919.dcm
21,1412253895.dcm
21,1930694229.dcm
21,182559740.dcm
21,738427556.dcm
48,372913994.dcm
48,1448339056.dcm
48,492172232.dcm
48,1217260620.dcm
49,812228127.dcm
49,895146777.dcm
49,1824102234.dcm
49,1349602681.dcm
49,1409066065.dcm
49,1747838179.dcm
49,247216577.dcm
49,511335038.dcm
49,1245826903.dcm
49,914477107.dcm
49,1194520536.dcm
49,1465778525.dcm
21,1427604072.dcm
21,1979548225.dcm
21,804269611.dcm
21,987308818.dcm
49,190732316.dcm
49,418563323.dcm
49,952806500.dcm
49,1650784405.dcm
29,51644622.dcm
29,270983678.dcm
29,157509761.dcm
29,538738982.dcm
48,72144314.dcm
48,1486205743.dcm
48,967964484.dcm
48,1361619179.dcm
21,1390390569.dcm
21,2082894904.dcm
21,372867978.dcm
21,1062559205.dcm
21,1016803766.dcm
21,1959749116.dcm
21,682364838.dcm
21,2010693630.dcm
49,208636548.dcm
49,898520007.dcm
49,2096117179.dcm
49,1074702533.dcm
49,1763676053.dcm
216,427970946.dcm
216,882946227.dcm
216,2101606377.dcm
216,2116272365.dcm
21,111020467.dcm
21,1360770089.dcm
21,21872985.dcm
21,1924268326.dcm
49,74521769.dcm
49,961642136.dcm
49,571471490.dcm
49,635935593.dcm
49,1902834102.dcm
49,1859340051.dcm
49,2113821527.dcm
49,1929037711.dcm
49,2109530754.dcm
49,27969942.dcm
49,1241585839.dcm
49,1246256672.dcm
49,2062470089.dcm
49,864707151.dcm
49,1559077949.dcm
49,38764571.dcm
49,1127311056.dcm
49,1593333872.dcm
170,1096308702.dcm
170,1810004579.dcm
170,59394641.dcm
170,1222153975.dcm
170,2016521032.dcm
49,399824442.dcm
49,1188906080.dcm
49,1346581457.dcm
49,1095179206.dcm
49,1371307297.dcm
48,90627689.dcm
48,2044557540.dcm
48,32767676.dcm
48,118305060.dcm
49,2041036912.dcm
49,2120226240.dcm
49,1339170303.dcm
49,1802781738.dcm
49,100531881.dcm
49,480059535.dcm
49,1191615895.dcm
49,1259210781.dcm
48,207205526.dcm
48,274460755.dcm
48,870358339.dcm
48,1278455468.dcm
21,265372528.dcm
21,478741437.dcm
21,469163681.dcm
21,1746622881.dcm
21,199041775.dcm
21,671458270.dcm
21,1976923246.dcm
21,2127215319.dcm
29,429182904.dcm
29,1642628853.dcm
29,881539219.dcm
29,1476548368.dcm
49,314729052.dcm
49,391631617.dcm
49,723080382.dcm
49,995059790.dcm
48,886870015.dcm
48,919620735.dcm
48,697632862.dcm
48,2095080751.dcm
48,993674425.dcm
